architecture,y_true,entropy,correct
mobilenetv2,0,0.7735255,True
mobilenetv2,0,1.447817e-05,True
mobilenetv2,0,0.0008686045,True
mobilenetv2,0,0.5725947,False
mobilenetv2,0,0.978515,True
mobilenetv2,0,0.24883589,True
mobilenetv2,0,0.3174734,False
mobilenetv2,0,2.3946737e-05,True
mobilenetv2,0,0.003977234,False
mobilenetv2,0,0.11836185,True
mobilenetv2,0,0.016851678,True
mobilenetv2,0,0.2977887,False
mobilenetv2,0,0.00070242496,True
mobilenetv2,0,0.4766405,True
mobilenetv2,0,0.0023504654,True
mobilenetv2,0,0.008199994,True
mobilenetv2,0,0.0010775097,True
mobilenetv2,0,8.689222e-05,True
mobilenetv2,0,0.21220228,False
mobilenetv2,0,0.3233757,True
mobilenetv2,0,0.005788965,True
mobilenetv2,0,0.008031004,True
mobilenetv2,0,0.2921517,True
mobilenetv2,0,0.09283398,True
mobilenetv2,0,0.012886885,True
mobilenetv2,0,0.9727992,True
mobilenetv2,0,0.009708724,True
mobilenetv2,0,0.00915212,True
mobilenetv2,0,0.1991649,True
mobilenetv2,0,1.0981493,True
mobilenetv2,0,0.9219584,False
mobilenetv2,0,2.2453729e-05,True
mobilenetv2,0,0.23018332,True
mobilenetv2,0,0.18927895,False
mobilenetv2,0,0.0024176294,True
mobilenetv2,0,0.5907571,True
mobilenetv2,0,0.006141019,True
mobilenetv2,0,0.0040130485,True
mobilenetv2,0,0.24251248,False
mobilenetv2,0,0.014804264,True
mobilenetv2,0,0.21760887,True
mobilenetv2,0,0.32444808,True
mobilenetv2,0,0.6852886,True
mobilenetv2,0,0.2920288,True
mobilenetv2,0,0.049893055,True
mobilenetv2,0,0.26770338,True
mobilenetv2,0,0.78729707,False
mobilenetv2,0,0.00062675215,True
mobilenetv2,0,0.0084662745,True
mobilenetv2,0,0.5174531,False
mobilenetv2,0,0.9524393,False
mobilenetv2,0,7.8711695e-05,True
mobilenetv2,0,0.21772513,True
mobilenetv2,0,0.51117504,True
mobilenetv2,0,0.07212601,True
mobilenetv2,0,0.3913791,True
mobilenetv2,0,1.1459355,False
mobilenetv2,0,0.083774924,True
mobilenetv2,0,0.6355725,False
mobilenetv2,0,1.2236494e-06,True
mobilenetv2,0,0.084160745,True
mobilenetv2,0,0.011436255,True
mobilenetv2,0,0.0004773259,True
mobilenetv2,0,0.021764092,True
mobilenetv2,0,0.1454969,True
mobilenetv2,0,0.9863175,False
mobilenetv2,0,0.8681276,False
mobilenetv2,0,0.5914638,True
mobilenetv2,0,0.3629328,False
mobilenetv2,0,0.23494306,False
mobilenetv2,0,0.011136395,True
mobilenetv2,0,3.262872e-08,True
mobilenetv2,0,6.623716e-05,True
mobilenetv2,0,0.010035598,True
mobilenetv2,0,0.2614786,True
mobilenetv2,0,0.7742716,False
mobilenetv2,0,6.852164e-07,True
mobilenetv2,0,0.22580342,True
mobilenetv2,0,0.00010491144,True
mobilenetv2,0,0.9610933,False
mobilenetv2,0,0.3171967,False
mobilenetv2,0,0.91692436,True
mobilenetv2,0,0.0005340291,True
mobilenetv2,0,0.05187877,True
mobilenetv2,0,0.24137679,True
mobilenetv2,0,0.008472176,True
mobilenetv2,0,0.7046616,True
mobilenetv2,0,1.0380334,True
mobilenetv2,0,0.0006226135,True
mobilenetv2,0,0.1381258,True
mobilenetv2,0,0.011940822,True
mobilenetv2,0,0.42270124,True
mobilenetv2,0,0.00058645016,True
mobilenetv2,0,0.0033394014,True
mobilenetv2,0,0.041361786,True
mobilenetv2,0,0.0032699497,True
mobilenetv2,0,3.5000885e-05,True
mobilenetv2,0,0.61002076,False
mobilenetv2,0,0.00090250233,True
mobilenetv2,0,0.9484912,False
mobilenetv2,0,0.5583763,True
mobilenetv2,0,0.69899935,True
mobilenetv2,0,0.0024538632,True
mobilenetv2,0,0.15214403,True
mobilenetv2,0,0.07308461,True
mobilenetv2,0,0.78482866,True
mobilenetv2,0,0.15790196,True
mobilenetv2,0,1.1191405,False
mobilenetv2,0,0.12172553,True
mobilenetv2,0,0.000107122505,True
mobilenetv2,0,0.70911443,False
mobilenetv2,0,0.08564756,True
mobilenetv2,0,6.363446e-05,True
mobilenetv2,0,0.5903712,False
mobilenetv2,0,0.00237534,True
mobilenetv2,0,0.7127187,False
mobilenetv2,0,0.0066363374,True
mobilenetv2,0,0.107393205,False
mobilenetv2,0,0.98185754,False
mobilenetv2,0,0.08441774,True
mobilenetv2,0,2.8298751e-05,True
mobilenetv2,0,0.08782626,True
mobilenetv2,0,0.0106653115,True
mobilenetv2,0,0.005559528,True
mobilenetv2,0,0.6484902,False
mobilenetv2,0,0.67136484,False
mobilenetv2,0,0.5996865,True
mobilenetv2,0,0.73350036,False
mobilenetv2,0,0.00028005347,True
mobilenetv2,0,0.9345329,False
mobilenetv2,0,0.00023913648,True
mobilenetv2,0,3.1082894e-07,True
mobilenetv2,0,0.38292363,False
mobilenetv2,0,0.0057421625,True
mobilenetv2,0,0.7525377,True
mobilenetv2,0,0.030620538,True
mobilenetv2,0,0.3846638,True
mobilenetv2,0,0.024508856,True
mobilenetv2,0,8.367932e-06,True
mobilenetv2,0,0.13383886,True
mobilenetv2,0,0.00020028441,True
mobilenetv2,0,0.017015189,True
mobilenetv2,0,2.6308055e-07,True
mobilenetv2,0,0.31639084,False
mobilenetv2,0,0.73132724,True
mobilenetv2,0,0.83322763,True
mobilenetv2,0,0.78084433,True
mobilenetv2,0,0.0038590874,True
mobilenetv2,0,0.59813964,False
mobilenetv2,0,0.013199697,True
mobilenetv2,0,0.0018826029,True
mobilenetv2,0,0.007055453,True
mobilenetv2,0,0.0065680183,True
mobilenetv2,0,0.41970927,True
mobilenetv2,0,0.7935304,False
mobilenetv2,0,0.09477876,True
mobilenetv2,0,0.0023993766,True
mobilenetv2,0,0.00028144408,True
mobilenetv2,0,1.1250592e-05,True
mobilenetv2,0,0.004160831,True
mobilenetv2,0,0.00033160645,True
mobilenetv2,0,0.00015263403,True
mobilenetv2,0,0.10883732,True
mobilenetv2,0,0.18862964,True
mobilenetv2,0,0.7059687,True
mobilenetv2,0,1.828393e-05,True
mobilenetv2,0,3.372729e-05,True
mobilenetv2,0,0.6404991,True
mobilenetv2,0,0.009310613,True
mobilenetv2,0,0.6707175,True
mobilenetv2,0,0.30709094,True
mobilenetv2,0,0.0070314375,True
mobilenetv2,0,0.010337727,True
mobilenetv2,0,0.0013984025,True
mobilenetv2,0,0.25960034,True
mobilenetv2,0,0.019655105,True
mobilenetv2,0,4.447181e-05,True
mobilenetv2,0,0.5292374,False
mobilenetv2,0,0.7711975,True
mobilenetv2,0,0.026399188,True
mobilenetv2,0,0.0013071917,True
mobilenetv2,0,0.2750523,True
mobilenetv2,0,0.27735242,True
mobilenetv2,0,0.34227717,False
mobilenetv2,0,0.00064469513,True
mobilenetv2,0,0.46287823,True
mobilenetv2,0,1.9696417e-05,True
mobilenetv2,0,0.00014425252,True
mobilenetv2,0,0.06867267,True
mobilenetv2,0,0.9962462,False
mobilenetv2,0,0.07469788,True
mobilenetv2,0,4.187196e-06,True
mobilenetv2,0,0.37279087,True
mobilenetv2,0,8.642323e-05,True
mobilenetv2,0,0.0005118596,True
mobilenetv2,0,0.9388567,False
mobilenetv2,0,0.29019216,True
mobilenetv2,0,0.7915768,False
mobilenetv2,0,0.21141565,True
mobilenetv2,0,0.4721053,True
mobilenetv2,0,0.66726583,False
mobilenetv2,0,0.77507865,True
mobilenetv2,0,0.01933352,True
mobilenetv2,0,0.0042571654,True
mobilenetv2,0,0.2773889,True
mobilenetv2,0,0.0012196113,True
mobilenetv2,0,0.019567644,True
mobilenetv2,0,0.00025137162,True
mobilenetv2,0,0.12354028,True
mobilenetv2,0,0.46562487,True
mobilenetv2,0,1.7111668e-05,True
mobilenetv2,0,0.069076195,True
mobilenetv2,0,0.16208656,True
mobilenetv2,0,0.0156019125,True
mobilenetv2,0,6.3973616e-08,True
mobilenetv2,0,1.006486,True
mobilenetv2,0,0.0016462398,True
mobilenetv2,0,0.6974875,False
mobilenetv2,0,0.19583964,True
mobilenetv2,0,0.055254754,True
mobilenetv2,0,1.074118,True
mobilenetv2,0,0.00052364275,True
mobilenetv2,0,0.0029152387,True
mobilenetv2,0,1.1115643,False
mobilenetv2,0,0.004336556,True
mobilenetv2,0,0.0004573788,True
mobilenetv2,0,0.00063417386,True
mobilenetv2,0,0.2818786,False
mobilenetv2,0,0.17933764,True
mobilenetv2,0,0.039439186,True
mobilenetv2,0,0.7718941,True
mobilenetv2,0,0.0050692195,True
mobilenetv2,0,0.67901045,True
mobilenetv2,0,0.028390966,True
mobilenetv2,0,0.0013550769,True
mobilenetv2,0,0.4750372,True
mobilenetv2,0,0.0004229616,True
mobilenetv2,0,0.016620582,True
mobilenetv2,0,0.59840304,False
mobilenetv2,0,0.43053952,True
mobilenetv2,0,1.0468321,False
mobilenetv2,0,0.3702316,True
mobilenetv2,0,0.61581635,True
mobilenetv2,0,0.0070212116,False
mobilenetv2,0,0.06117947,True
mobilenetv2,0,0.43963164,False
mobilenetv2,0,0.0042149993,True
mobilenetv2,0,0.08913864,True
mobilenetv2,0,0.33391672,True
mobilenetv2,0,0.49128506,False
mobilenetv2,0,0.06384299,True
mobilenetv2,0,5.0259778e-06,True
mobilenetv2,0,0.15935224,True
mobilenetv2,0,0.00020745593,True
mobilenetv2,0,0.10890257,True
mobilenetv2,0,0.0050971326,True
mobilenetv2,0,4.620744e-06,True
mobilenetv2,0,1.1372081,False
mobilenetv2,0,0.25934255,True
mobilenetv2,0,2.7921682e-05,True
mobilenetv2,0,0.0016313792,True
mobilenetv2,0,0.0012801061,True
mobilenetv2,0,0.18777773,False
mobilenetv2,0,0.5748042,True
mobilenetv2,0,0.32102984,True
mobilenetv2,0,0.44459566,True
mobilenetv2,0,2.8748398e-06,True
mobilenetv2,0,0.0015981239,True
mobilenetv2,0,2.8064918e-05,True
mobilenetv2,0,0.025941389,False
mobilenetv2,0,0.015607074,True
mobilenetv2,0,0.0046469737,True
mobilenetv2,0,0.6882771,True
mobilenetv2,0,8.5499676e-05,True
mobilenetv2,0,0.012954048,True
mobilenetv2,0,0.0004938031,True
mobilenetv2,0,0.00010766454,True
mobilenetv2,0,1.0998051,False
mobilenetv2,0,0.0051193647,True
mobilenetv2,0,0.061334014,False
mobilenetv2,0,0.34677905,False
mobilenetv2,0,0.0038760188,True
mobilenetv2,0,0.3307472,True
mobilenetv2,0,0.6929147,True
mobilenetv2,0,0.0011551188,True
mobilenetv2,0,0.17412569,True
mobilenetv2,0,0.010179609,True
mobilenetv2,0,0.7973386,False
mobilenetv2,0,0.011014409,True
mobilenetv2,0,0.75977117,True
mobilenetv2,0,0.0038050534,True
mobilenetv2,0,4.165442e-07,True
mobilenetv2,0,0.00043022982,True
mobilenetv2,0,0.022489343,True
mobilenetv2,0,0.031150158,True
mobilenetv2,0,0.13479225,True
mobilenetv2,0,0.8039118,True
mobilenetv2,0,0.22039753,True
mobilenetv2,0,0.0009190364,True
mobilenetv2,0,0.37747958,True
mobilenetv2,0,0.07895087,True
mobilenetv2,0,0.0012200767,True
mobilenetv2,0,0.8492797,True
mobilenetv2,0,0.0009932957,False
mobilenetv2,0,0.313393,True
mobilenetv2,0,0.02687525,True
mobilenetv2,0,6.750962e-05,True
mobilenetv2,0,0.03765275,True
mobilenetv2,0,0.0034344145,True
mobilenetv2,0,0.6326742,True
mobilenetv2,0,0.648613,True
mobilenetv2,0,0.00063766056,True
mobilenetv2,0,0.3077569,False
mobilenetv2,0,0.0007314905,True
mobilenetv2,0,0.5526905,True
mobilenetv2,0,0.44970682,True
mobilenetv2,0,0.15180176,True
mobilenetv2,0,8.17219e-07,True
mobilenetv2,0,0.58135164,True
mobilenetv2,0,8.035528e-06,True
mobilenetv2,0,0.67922866,True
mobilenetv2,0,0.74865294,False
mobilenetv2,0,0.67752934,False
mobilenetv2,0,1.3168381e-05,True
mobilenetv2,0,0.7924583,False
mobilenetv2,0,0.0031365056,True
mobilenetv2,0,1.4127545e-06,True
mobilenetv2,0,0.70006406,False
mobilenetv2,0,0.014336314,True
mobilenetv2,0,5.9297443e-05,True
mobilenetv2,0,0.00033211292,True
mobilenetv2,0,0.004104378,True
mobilenetv2,0,0.41232756,True
mobilenetv2,0,0.0024793192,True
mobilenetv2,0,0.0047212946,True
mobilenetv2,0,0.3238681,True
mobilenetv2,0,0.12869601,True
mobilenetv2,0,0.012633695,True
mobilenetv2,0,1.0840979,False
mobilenetv2,0,0.0088745775,True
mobilenetv2,0,0.5826132,True
mobilenetv2,0,0.44867486,True
mobilenetv2,0,0.58451575,False
mobilenetv2,0,0.022155795,True
mobilenetv2,0,0.013752241,True
mobilenetv2,0,0.0014006409,True
mobilenetv2,0,0.12135536,True
mobilenetv2,0,0.5428081,False
mobilenetv2,0,1.2936288e-06,True
mobilenetv2,0,0.9498949,False
mobilenetv2,0,0.00030289905,True
mobilenetv2,0,0.09377133,True
mobilenetv2,0,0.8455746,False
mobilenetv2,0,9.381814e-05,True
mobilenetv2,0,0.24845359,False
mobilenetv2,0,0.6910403,False
mobilenetv2,0,0.03136872,True
mobilenetv2,0,4.798198e-05,True
mobilenetv2,0,0.0008460145,True
mobilenetv2,0,0.6735942,False
mobilenetv2,0,2.3064813e-05,True
mobilenetv2,0,0.57564676,True
mobilenetv2,0,0.007482266,True
mobilenetv2,0,0.643471,True
mobilenetv2,0,0.6350028,True
mobilenetv2,0,0.0032915827,False
mobilenetv2,0,0.11501968,True
mobilenetv2,0,0.006338393,True
mobilenetv2,0,0.4919319,True
mobilenetv2,0,0.03582596,True
mobilenetv2,0,0.676602,False
mobilenetv2,0,0.63376313,True
mobilenetv2,0,1.209128e-05,False
mobilenetv2,0,0.92208153,True
mobilenetv2,0,1.0230387,False
mobilenetv2,0,0.5965258,True
mobilenetv2,0,0.009983387,False
mobilenetv2,0,0.0006049464,True
mobilenetv2,0,0.011318482,True
mobilenetv2,0,0.00022922085,True
mobilenetv2,0,0.45329624,True
mobilenetv2,0,0.74183756,True
mobilenetv2,0,0.0065592146,True
mobilenetv2,0,0.7848633,True
mobilenetv2,0,0.0011895259,True
mobilenetv2,0,0.8062472,False
mobilenetv2,0,0.56204754,False
mobilenetv2,0,0.04291272,True
mobilenetv2,0,0.18017767,True
mobilenetv2,0,0.0010132688,True
mobilenetv2,0,0.0002297205,True
mobilenetv2,0,0.5841769,True
mobilenetv2,0,5.4757747e-06,True
mobilenetv2,0,0.65639484,True
mobilenetv2,0,0.5419136,False
mobilenetv2,0,0.0054443125,True
mobilenetv2,0,0.20179586,True
mobilenetv2,0,0.20234719,False
mobilenetv2,0,0.558657,True
mobilenetv2,0,0.045149717,True
mobilenetv2,1,0.11479522,True
mobilenetv2,1,0.35063437,False
mobilenetv2,1,0.5032339,True
mobilenetv2,1,0.62663186,True
mobilenetv2,1,0.7720551,False
mobilenetv2,1,0.16979751,True
mobilenetv2,1,0.08006909,True
mobilenetv2,1,0.7102288,True
mobilenetv2,1,0.68389595,True
mobilenetv2,1,0.4398209,False
mobilenetv2,1,0.205028,True
mobilenetv2,1,0.96083736,True
mobilenetv2,1,0.4285308,False
mobilenetv2,1,0.35072196,True
mobilenetv2,1,0.585275,True
mobilenetv2,1,0.03569128,True
mobilenetv2,1,0.1198045,True
mobilenetv2,1,0.5555962,True
mobilenetv2,1,0.7322887,True
mobilenetv2,1,0.33390447,True
mobilenetv2,1,0.82802904,True
mobilenetv2,1,0.79427314,True
mobilenetv2,1,0.7231456,True
mobilenetv2,1,0.7818308,True
mobilenetv2,1,0.010644127,True
mobilenetv2,1,0.31538746,True
mobilenetv2,1,0.19440107,True
mobilenetv2,1,0.68784344,False
mobilenetv2,1,0.11059994,True
